Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf,AIC null,Coherence factor
0.0,,,,,,,,
0.5,,,,,,,,
1.0,,,,,,,,
1.5,,,,,,,,
2.0,,,,,,,,
2.5,,,,,,,,
3.0,,,,,,,,
3.5,,,,,,,,
4.0,,,,,,,,
4.5,,,,,,,,
5.0,,,,,,,,
5.5,,,,,,,,
6.0,,,,,,,,
6.5,,,,,,,,
7.0,,,,,,,,
7.5,,,,,,,,
8.0,,,,,,,,
8.5,,,,,,,,
9.0,,,,,,,,
9.5,,,,,,,,
10.0,,,,,,,,
10.5,,,,,,,,
11.0,,,,,,,,
11.5,,,,,,,,
12.0,,,,,,,,
12.5,,,,,,,,
13.0,,,,,,,,
13.5,,,,,,,,
14.0,,,,,,,,
14.5,,,,,,,,
15.0,,,,,,,,
15.5,,,,,,,,
16.0,,,,,,,,
16.5,,,,,,,,
17.0,,,,,,,,
17.5,,,,,,,,
18.0,,,,,,,,
18.5,,,,,,,,
19.0,,,,,,,,
19.5,,,,,,,,
20.0,,,,,,,,
20.5,,,,,,,,
21.0,,,,,,,,
21.5,,,,,,,,
22.0,,,,,,,,
22.5,,,,,,,,
23.0,,,,,,,,
23.5,,,,,,,,
24.0,,,,,,,,
24.5,,,,,,,,
25.0,,,,,,,,
25.5,,,,,,,,
26.0,,,,,,,,
26.5,,,,,,,,
27.0,,,,,,,,
27.5,,,,,,,,
28.0,,,,,,,,
28.5,,,,,,,,
29.0,,,,,,,,
29.5,,,,,,,,
30.0,,,,,,,,
30.5,,,,,,,,
31.0,,,,,,,,
31.5,,,,,,,,
32.0,,,,,,,,
32.5,,,,,,,,
33.0,,,,,,,,
33.5,,,,,,,,
34.0,,,,,,,,
34.5,,,,,,,,
35.0,,,,,,,,
35.5,,,,,,,,
36.0,,,,,,,,
36.5,,,,,,,,
37.0,,,,,,,,
37.5,,,,,,,,
38.0,,,,,,,,
38.5,,,,,,,,
39.0,,,,,,,,
39.5,,,,,,,,
40.0,,,,,,,,
40.5,,,,,,,,
41.0,,,,,,,,
41.5,,,,,,,,
42.0,,,,,,,,
42.5,,,,,,,,
43.0,,,,,,,,
43.5,,,,,,,,
44.0,,,,,,,,
44.5,,,,,,,,
45.0,,,,,,,,
45.5,,,,,,,,
46.0,,,,,,,,
46.5,,,,,,,,
47.0,,,,,,,,
47.5,,,,,,,,
48.0,,,,,,,,
48.5,,,,,,,,
49.0,,,,,,,,
49.5,0.000573961571169877,0.20219638917497793,-0.19389445151692938,0.14804944485661056,0.1000088127306826,0.7999923059671198,0.09999888130219761,0.00012612865936161396
50.0,0.0005651147236698817,0.19789497438534043,-0.21055148031145535,0.14592086884903388,,,,
50.5,0.0005737856717827327,0.19555900009852994,-0.22292383296681778,0.15275938022793337,,,,
51.0,0.0005718380014248113,0.19213707116877524,-0.23441852863524787,0.14068049526525425,,,,
51.5,0.0005605067181603137,0.18267149765314797,-0.24597180825800397,0.13580101873959832,,,,
52.0,0.000555026072235334,0.17080835510523215,-0.2620455015817086,0.12988314281145874,,,,
52.5,0.0005551478244334914,0.16780625471436061,-0.2734759424377403,0.13329685230067803,,,,
53.0,0.0005598310032184758,0.16870991517966177,-0.27766175900848544,0.134457613483246,,,,
53.5,0.0005649935636207769,0.16532754115553736,-0.28522954326591443,0.13569430277238986,,,,
54.0,0.0005654749755851804,0.1597142489773366,-0.29339485935759796,0.1346055674624178,,,,
54.5,0.0005752331410971729,0.15639395086594832,-0.2991313498145071,0.13652511697343692,0.0007798503345131104,0.8999415199230242,0.09927862974246274,0.00011818342367943973
