Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf,AIC null,Coherence factor
0.0,,,,,,,,
0.5,,,,,,,,
1.0,,,,,,,,
1.5,,,,,,,,
2.0,,,,,,,,
2.5,,,,,,,,
3.0,,,,,,,,
3.5,,,,,,,,
4.0,,,,,,,,
4.5,,,,,,,,
5.0,,,,,,,,
5.5,,,,,,,,
6.0,,,,,,,,
6.5,,,,,,,,
7.0,,,,,,,,
7.5,,,,,,,,
8.0,,,,,,,,
8.5,,,,,,,,
9.0,,,,,,,,
9.5,,,,,,,,
10.0,,,,,,,,
10.5,,,,,,,,
11.0,,,,,,,,
11.5,,,,,,,,
12.0,,,,,,,,
12.5,,,,,,,,
13.0,,,,,,,,
13.5,,,,,,,,
14.0,,,,,,,,
14.5,,,,,,,,
15.0,,,,,,,,
15.5,,,,,,,,
16.0,,,,,,,,
16.5,,,,,,,,
17.0,,,,,,,,
17.5,,,,,,,,
18.0,,,,,,,,
18.5,,,,,,,,
19.0,,,,,,,,
19.5,,,,,,,,
20.0,,,,,,,,
20.5,,,,,,,,
21.0,,,,,,,,
21.5,,,,,,,,
22.0,,,,,,,,
22.5,,,,,,,,
23.0,,,,,,,,
23.5,,,,,,,,
24.0,,,,,,,,
24.5,,,,,,,,
25.0,,,,,,,,
25.5,,,,,,,,
26.0,,,,,,,,
26.5,,,,,,,,
27.0,,,,,,,,
27.5,,,,,,,,
28.0,,,,,,,,
28.5,,,,,,,,
29.0,,,,,,,,
29.5,,,,,,,,
30.0,,,,,,,,
30.5,,,,,,,,
31.0,,,,,,,,
31.5,,,,,,,,
32.0,,,,,,,,
32.5,,,,,,,,
33.0,,,,,,,,
33.5,,,,,,,,
34.0,,,,,,,,
34.5,,,,,,,,
35.0,,,,,,,,
35.5,,,,,,,,
36.0,,,,,,,,
36.5,,,,,,,,
37.0,,,,,,,,
37.5,,,,,,,,
38.0,,,,,,,,
38.5,,,,,,,,
39.0,,,,,,,,
39.5,,,,,,,,
40.0,,,,,,,,
40.5,,,,,,,,
41.0,,,,,,,,
41.5,,,,,,,,
42.0,,,,,,,,
42.5,,,,,,,,
43.0,,,,,,,,
43.5,,,,,,,,
44.0,,,,,,,,
44.5,,,,,,,,
45.0,,,,,,,,
45.5,,,,,,,,
46.0,,,,,,,,
46.5,,,,,,,,
47.0,,,,,,,,
47.5,,,,,,,,
48.0,,,,,,,,
48.5,,,,,,,,
49.0,,,,,,,,
49.5,0.0005176983616037746,0.1482612439602911,0.12534153254667335,0.12455962451755889,0.37218071196189767,0.43384148775029685,0.23209072671771327,0.00010133641513550699
50.0,0.0005195890155727353,0.14345873784255164,0.12838547145991983,0.12231492535638976,,,,
50.5,0.0005237321060453942,0.1436100659887719,0.13443461446342495,0.12152311227331998,,,,
51.0,0.0005219012129135027,0.13918595517604013,0.1301857165876843,0.1171122692101762,,,,
51.5,0.0005170696028280132,0.14114884003140862,0.12420511186516851,0.12517666031394206,,,,
52.0,0.000520574304397509,0.13889147159794565,0.11638683270186362,0.12534055870467292,,,,
52.5,0.0005174589016693275,0.13471275701576246,0.1131526488953396,0.123862137532957,,,,
53.0,0.0005094190424599518,0.132652640494156,0.10926680947472506,0.1312063555743042,,,,
53.5,0.0005163047369454711,0.13086937522703568,0.10326435097871305,0.13549343570727793,,,,
54.0,0.0005139496267546851,0.13372443921612837,0.10548580548186527,0.1356317423454445,,,,
54.5,0.0005207487446411856,0.12488756991519688,0.11354685423524034,0.12088820169721667,,,,
55.0,0.0005134696847729893,0.128740217310367,0.10815104900619121,0.10797731390385046,,,,
