Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
0.0,,,,,,
0.5,,,,,,
1.0,,,,,,
1.5,,,,,,
2.0,,,,,,
2.5,,,,,,
3.0,,,,,,
3.5,,,,,,
4.0,,,,,,
4.5,,,,,,
5.0,,,,,,
5.5,,,,,,
6.0,,,,,,
6.5,,,,,,
7.0,,,,,,
7.5,,,,,,
8.0,,,,,,
8.5,,,,,,
9.0,,,,,,
9.5,,,,,,
10.0,,,,,,
10.5,,,,,,
11.0,,,,,,
11.5,,,,,,
12.0,,,,,,
12.5,,,,,,
13.0,,,,,,
13.5,,,,,,
14.0,,,,,,
14.5,,,,,,
15.0,,,,,,
15.5,,,,,,
16.0,,,,,,
16.5,,,,,,
17.0,,,,,,
17.5,,,,,,
18.0,,,,,,
18.5,,,,,,
19.0,,,,,,
19.5,,,,,,
20.0,,,,,,
20.5,,,,,,
21.0,,,,,,
21.5,,,,,,
22.0,,,,,,
22.5,,,,,,
23.0,,,,,,
23.5,,,,,,
24.0,,,,,,
24.5,,,,,,
25.0,,,,,,
25.5,,,,,,
26.0,,,,,,
26.5,,,,,,
27.0,,,,,,
27.5,,,,,,
28.0,,,,,,
28.5,,,,,,
29.0,,,,,,
29.5,,,,,,
30.0,,,,,,
30.5,,,,,,
31.0,,,,,,
31.5,,,,,,
32.0,,,,,,
32.5,,,,,,
33.0,,,,,,
33.5,,,,,,
34.0,,,,,,
34.5,,,,,,
35.0,,,,,,
35.5,,,,,,
36.0,,,,,,
36.5,,,,,,
37.0,0.001563280718320137,0.2716908740321477,-0.2331540615944398,0.16693626687723065,0.2640478553268743,0.7233079238783726
37.5,0.001559183793519753,0.2630719267855804,-0.2494024797119979,0.15885951335705514,,
38.0,0.0015487356567652501,0.25150974582801994,-0.2672338058067243,0.1544049087507005,,
38.5,0.001538451714093728,0.24381721616555926,-0.2802289947252216,0.15216858752066922,,
39.0,0.0015418729706913256,0.237622545141815,-0.29192542647452124,0.1490809267357208,,
39.5,0.0015378139932566495,0.229782738193797,-0.3046329219182764,0.14516866455990146,0.2184101633520063,0.7626888345470481
40.0,0.0015382529263706021,0.22313119989490235,-0.3178258360724119,0.14255428129176842,,
40.5,0.0015450737822419918,0.21467274880083295,-0.32808220566056934,0.1386284117899733,,
41.0,0.0015524600900668362,0.2099222107939753,-0.3366066693571201,0.13517612665598513,,
41.5,0.0015733834260317791,0.20209378969223868,-0.350876843192485,0.13772986059012218,,
42.0,0.0015785307612151557,0.19734038770794932,-0.36123684924132965,0.14049841592910783,0.18824786734406015,0.7886998200066286
42.5,0.001585269147652032,0.19134663586155426,-0.3722898253641895,0.14139380916602198,,
43.0,0.001602823362662479,0.18546284549723763,-0.37950528537881206,0.1435759025260642,,
43.5,0.001612192561872443,0.17931110675062084,-0.3906318847906523,0.15089504381425628,,
44.0,0.0016245129036412303,0.1734009518710126,-0.4004787125661536,0.15272863610000173,,
44.5,0.001642860432156083,0.1710164574075432,-0.4102275111530321,0.1576996207021679,0.13434353144178054,0.8452371206663979
45.0,0.001652812662638973,0.1645857857924722,-0.41638437784017385,0.1606204907126459,,
45.5,0.0016641324811520416,0.16586567411012232,-0.422998938582863,0.16730217461031316,,
46.0,0.0016705565484995647,0.1591739443836635,-0.4298441391519829,0.17104557654327618,,
46.5,0.0016760144030233074,0.15545820922600176,-0.4347581105456677,0.17501945115686454,,
47.0,0.0016879822663866005,0.14979628265621447,-0.439602013305941,0.17845515892162125,0.10975817315459187,0.8750786882796239
47.5,0.001696760479233507,0.14719647761437743,-0.44440812484041076,0.18192351538091667,,
