Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
0.0,,,,,,
0.5,,,,,,
1.0,,,,,,
1.5,,,,,,
2.0,,,,,,
2.5,,,,,,
3.0,,,,,,
3.5,,,,,,
4.0,,,,,,
4.5,,,,,,
5.0,,,,,,
5.5,,,,,,
6.0,,,,,,
6.5,,,,,,
7.0,,,,,,
7.5,,,,,,
8.0,,,,,,
8.5,,,,,,
9.0,,,,,,
9.5,,,,,,
10.0,,,,,,
10.5,,,,,,
11.0,,,,,,
11.5,,,,,,
12.0,,,,,,
12.5,,,,,,
13.0,,,,,,
13.5,,,,,,
14.0,,,,,,
14.5,,,,,,
15.0,,,,,,
15.5,,,,,,
16.0,,,,,,
16.5,,,,,,
17.0,,,,,,
17.5,,,,,,
18.0,,,,,,
18.5,,,,,,
19.0,,,,,,
19.5,,,,,,
20.0,,,,,,
20.5,,,,,,
21.0,,,,,,
21.5,,,,,,
22.0,,,,,,
22.5,,,,,,
23.0,,,,,,
23.5,,,,,,
24.0,,,,,,
24.5,,,,,,
25.0,,,,,,
25.5,,,,,,
26.0,,,,,,
26.5,,,,,,
27.0,,,,,,
27.5,,,,,,
28.0,,,,,,
28.5,,,,,,
29.0,,,,,,
29.5,,,,,,
30.0,,,,,,
30.5,,,,,,
31.0,,,,,,
31.5,,,,,,
32.0,,,,,,
32.5,,,,,,
33.0,,,,,,
33.5,,,,,,
34.0,,,,,,
34.5,,,,,,
35.0,,,,,,
35.5,,,,,,
36.0,,,,,,
36.5,,,,,,
37.0,0.0002946303599017491,0.07383755149768387,0.1200341814370088,0.12261061045939313,0.4043357197165248,0.4181154703949787
37.5,0.00029602602071655907,0.07259881699415564,0.11918897759027212,0.12407947955254083,,
38.0,0.0003016770643897704,0.07067269271766069,0.11707872226605724,0.12818152305947045,,
38.5,0.0003038896145162358,0.07061881479681979,0.11557018653752894,0.12878367608847247,,
39.0,0.0003039818195335035,0.07045114638487143,0.11413218484531666,0.12788025777977627,,
39.5,0.0003077135771643412,0.06770307042894266,0.11283100873616857,0.12743913579957591,0.3676116660839439,0.387873967718195
40.0,0.0003092964537184197,0.06783242490703001,0.11449474207474006,0.12893356566908487,,
40.5,0.0003175721145669507,0.07090829016160265,0.11434167132580574,0.13131756075039738,,
41.0,0.00031011356323333686,0.06551926989932183,0.10937530574180876,0.1323665743139121,,
41.5,0.0003247261028794736,0.06659021067113406,0.10802408835590604,0.131766055551798,,
42.0,0.0003291202073881578,0.06411718641056222,0.10805931118326212,0.12943931269126072,0.3463133874509729,0.37783299332782516
42.5,0.0003305729303673503,0.06408179170686162,0.10798300641673848,0.12932762126822583,,
43.0,0.000342864008010329,0.061205033156196915,0.10754148868896096,0.12985651004142282,,
43.5,0.00035015144938628024,0.06073790639309557,0.10676232472884319,0.1322228899059857,,
44.0,0.0003538332090596502,0.06439457614043671,0.10573396025373195,0.13277921902118833,,
44.5,0.00036704508875497205,0.0628432414100462,0.10844005770602191,0.13785228655802426,0.30525658102868813,0.3363727576710717
45.0,0.0003695813251298333,0.06440887969956437,0.10986848659455971,0.13859291945634453,,
45.5,0.0003691274077812727,0.06723238249338856,0.10833216677185846,0.13841098230609242,,
46.0,0.0003835738667921088,0.06657932721015952,0.10614943758995846,0.13831786621659253,,
46.5,0.0003830707194981888,0.06882659729111677,0.10450491759482806,0.1374933905634112,,
47.0,0.0003944257530662962,0.06821148204718518,0.10327955066826908,0.13404156369233752,0.28256184703305764,0.31122677874703125
47.5,0.00039324036713240466,0.06873927311292397,0.0982297418269232,0.13318169738228658,,
