Realisation number,Variable,Time,Frequency,Empirical
1,x,49.5,-6.283185307179586,2.309897303792554e-05
1,x,49.5,-5.969026041820607,1.7247811275268718e-05
1,x,49.5,-5.654866776461628,8.66521717249e-06
1,x,49.5,-5.340707511102649,5.129084986967624e-06
1,x,49.5,-5.026548245743669,5.271533951961155e-06
1,x,49.5,-4.71238898038469,1.113153294506555e-05
1,x,49.5,-4.39822971502571,1.0162970750013887e-05
1,x,49.5,-4.084070449666731,1.140973015942317e-05
1,x,49.5,-3.769911184307752,1.936687546994258e-05
1,x,49.5,-3.455751918948773,2.5399506940025082e-05
1,x,49.5,-3.141592653589793,2.1139622775283785e-05
1,x,49.5,-2.827433388230814,2.4240481475841826e-05
1,x,49.5,-2.5132741228718345,5.197337019805017e-05
1,x,49.5,-2.199114857512855,0.00010257218756425037
1,x,49.5,-1.884955592153876,6.049894739242686e-05
1,x,49.5,-1.5707963267948966,2.3993144944429206e-05
1,x,49.5,-1.2566370614359172,3.110247592734384e-05
1,x,49.5,-0.942477796076938,3.91626885706889e-05
1,x,49.5,-0.6283185307179586,4.55051220874315e-05
1,x,49.5,-0.3141592653589793,6.978703937713435e-05
1,x,49.5,0.0,3.961483816987649e-05
1,x,49.5,0.3141592653589793,6.978703937713435e-05
1,x,49.5,0.6283185307179586,4.55051220874315e-05
1,x,49.5,0.942477796076938,3.91626885706889e-05
1,x,49.5,1.2566370614359172,3.110247592734384e-05
1,x,49.5,1.5707963267948966,2.3993144944429206e-05
1,x,49.5,1.884955592153876,6.049894739242686e-05
1,x,49.5,2.199114857512855,0.00010257218756425037
1,x,49.5,2.5132741228718345,5.197337019805017e-05
1,x,49.5,2.827433388230814,2.4240481475841826e-05
1,x,49.5,3.141592653589793,2.1139622775283785e-05
1,x,49.5,3.455751918948773,2.5399506940025082e-05
1,x,49.5,3.769911184307752,1.936687546994258e-05
1,x,49.5,4.084070449666731,1.140973015942317e-05
1,x,49.5,4.39822971502571,1.0162970750013887e-05
1,x,49.5,4.71238898038469,1.113153294506555e-05
1,x,49.5,5.026548245743669,5.271533951961155e-06
1,x,49.5,5.340707511102649,5.129084986967624e-06
1,x,49.5,5.654866776461628,8.66521717249e-06
1,x,49.5,5.969026041820607,1.7247811275268718e-05
1,x,49.5,6.283185307179586,2.309897303792554e-05
1,x,59.5,-6.283185307179586,2.8377383020219175e-05
1,x,59.5,-5.969026041820607,2.0426897379879685e-05
1,x,59.5,-5.654866776461628,1.0090177427237726e-05
1,x,59.5,-5.340707511102649,1.7229231117504963e-05
1,x,59.5,-5.026548245743669,1.8408404304970217e-05
1,x,59.5,-4.71238898038469,2.182730651008494e-05
1,x,59.5,-4.39822971502571,1.4189469063624521e-05
1,x,59.5,-4.084070449666731,1.2530173168608564e-05
1,x,59.5,-3.769911184307752,3.986357379746787e-05
1,x,59.5,-3.455751918948773,4.412994938916305e-05
1,x,59.5,-3.141592653589793,3.9392908299108485e-05
1,x,59.5,-2.827433388230814,5.2624042290270694e-05
1,x,59.5,-2.5132741228718345,7.168128063976515e-05
1,x,59.5,-2.199114857512855,9.454807684450457e-05
1,x,59.5,-1.884955592153876,0.00010183365986684454
